subject,augmentation,hcp_subset
002_S_4654,1,"901139,145834,109123,191336,180533,177645,155938,140117,725751,134627,818859,381038,114823,111514,134829,176542,178142"
002_S_4654,2,"601127,833249,943862,757764,169747,901442,380036,177140,401422,191841,102311,159239,898176,209228,771354,158136,871762"
002_S_4654,3,"205220,905147,872764,257845,135124,221319,212419,186949,116726,429040,146735,251833,115825,942658,157336,365343,200210"
002_S_4654,4,"199655,397760,389357,167440,192641,671855,214524,878877,108323,203418,146129,263436,550439,572045,393247,118225,169343"
002_S_4654,5,"910241,177746,200311,436845,131722,169040,167036,706040,204521,150423,214019,751550,200614,115017,197348,330324,132118"
002_S_4654,6,"187345,581450,318637,861456,360030,249947,246133,745555,951457,162935,878776,789373,105923,765864,171633,233326,782561"
002_S_4654,7,"144226,193845,562345,181232,899885,346137,130518,148133,541943,126931,283543,352738,192439,128935,178243,385046,239136"
002_S_4654,8,"814649,137128,690152,126426,927359,146937,724446,467351,104416,406836,654552,191033,825048,175237,158035,195041,412528"
002_S_4654,9,"173334,196144,627549,926862,100610,165436,644246,525541,130114,156334,169444,164131,573249,198653,463040,164636,125525"
002_S_4654,10,"320826,185442,201515,680957,131217,182739,770352,859671,732243,547046,182436,958976,102816,783462,172130,617748,395756"
002_S_6695,1,"901139,145834,109123,191336,180533,177645,155938,140117,725751,134627,818859,381038,114823,111514,134829,176542,178142"
002_S_6695,2,"601127,833249,943862,757764,169747,901442,380036,177140,401422,191841,102311,159239,898176,209228,771354,158136,871762"
002_S_6695,3,"205220,905147,872764,257845,135124,221319,212419,186949,116726,429040,146735,251833,115825,942658,157336,365343,200210"
002_S_6695,4,"199655,397760,389357,167440,192641,671855,214524,878877,108323,203418,146129,263436,550439,572045,393247,118225,169343"
002_S_6695,5,"910241,177746,200311,436845,131722,169040,167036,706040,204521,150423,214019,751550,200614,115017,197348,330324,132118"
002_S_6695,6,"187345,581450,318637,861456,360030,249947,246133,745555,951457,162935,878776,789373,105923,765864,171633,233326,782561"
002_S_6695,7,"144226,193845,562345,181232,899885,346137,130518,148133,541943,126931,283543,352738,192439,128935,178243,385046,239136"
002_S_6695,8,"814649,137128,690152,126426,927359,146937,724446,467351,104416,406836,654552,191033,825048,175237,158035,195041,412528"
002_S_6695,9,"173334,196144,627549,926862,100610,165436,644246,525541,130114,156334,169444,164131,573249,198653,463040,164636,125525"
002_S_6695,10,"320826,185442,201515,680957,131217,182739,770352,859671,732243,547046,182436,958976,102816,783462,172130,617748,395756"
003_S_6264,1,"901139,145834,109123,191336,180533,177645,155938,140117,725751,134627,818859,381038,114823,111514,134829,176542,178142"
003_S_6264,2,"601127,833249,943862,757764,169747,901442,380036,177140,401422,191841,102311,159239,898176,209228,771354,158136,871762"
003_S_6264,3,"205220,905147,872764,257845,135124,221319,212419,186949,116726,429040,146735,251833,115825,942658,157336,365343,200210"
003_S_6264,4,"199655,397760,389357,167440,192641,671855,214524,878877,108323,203418,146129,263436,550439,572045,393247,118225,169343"
003_S_6264,5,"910241,177746,200311,436845,131722,169040,167036,706040,204521,150423,214019,751550,200614,115017,197348,330324,132118"
003_S_6264,6,"187345,581450,318637,861456,360030,249947,246133,745555,951457,162935,878776,789373,105923,765864,171633,233326,782561"
003_S_6264,7,"144226,193845,562345,181232,899885,346137,130518,148133,541943,126931,283543,352738,192439,128935,178243,385046,239136"
003_S_6264,8,"814649,137128,690152,126426,927359,146937,724446,467351,104416,406836,654552,191033,825048,175237,158035,195041,412528"
003_S_6264,9,"173334,196144,627549,926862,100610,165436,644246,525541,130114,156334,169444,164131,573249,198653,463040,164636,125525"
003_S_6264,10,"320826,185442,201515,680957,131217,182739,770352,859671,732243,547046,182436,958976,102816,783462,172130,617748,395756"
003_S_6268,1,"901139,145834,109123,191336,180533,177645,155938,140117,725751,134627,818859,381038,114823,111514,134829,176542,178142"
003_S_6268,2,"601127,833249,943862,757764,169747,901442,380036,177140,401422,191841,102311,159239,898176,209228,771354,158136,871762"
