params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.632,0.526,0.5,0.667,0.667,0.598,5
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.579,0.579,0.444,0.611,0.667,0.576,12
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.684,0.579,0.667,0.611,0.556,0.619,3
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.684,0.632,0.444,0.611,0.667,0.608,4
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.579,0.632,0.5,0.5,0.556,0.553,16
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.632,0.632,0.444,0.667,0.611,0.597,7
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.526,0.526,0.667,0.556,0.667,0.588,9
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.579,0.579,0.444,0.611,0.611,0.565,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.632,0.526,0.5,0.667,0.667,0.598,5
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.632,0.579,0.444,0.611,0.667,0.587,10
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.789,0.632,0.611,0.611,0.611,0.651,1
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.789,0.632,0.444,0.611,0.722,0.64,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.684,0.579,0.444,0.667,0.556,0.586,11
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.684,0.632,0.444,0.611,0.611,0.596,8
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.526,0.526,0.556,0.667,0.556,0.566,14
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.632,0.579,0.444,0.611,0.611,0.575,13
