params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.524,0.667,0.714,0.714,0.619,0.648,4
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.571,0.524,0.667,0.762,0.667,0.638,10
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.571,0.476,0.619,0.714,0.667,0.61,27
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.667,0.524,0.667,0.714,0.667,0.648,4
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.619,0.476,0.571,0.714,0.714,0.619,19
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.667,0.524,0.667,0.714,0.762,0.667,1
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.524,0.524,0.619,0.619,0.667,0.59,40
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.667,0.429,0.667,0.619,0.667,0.61,27
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.571,0.429,0.524,0.667,0.619,0.562,52
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.667,0.476,0.667,0.714,0.619,0.629,15
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.571,0.429,0.524,0.667,0.667,0.571,50
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.667,0.476,0.667,0.762,0.714,0.657,2
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.619,0.476,0.667,0.571,0.619,0.59,40
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.619,0.476,0.714,0.619,0.619,0.61,24
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.571,0.381,0.619,0.667,0.619,0.571,50
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.619,0.476,0.667,0.619,0.619,0.6,32
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.571,0.429,0.619,0.667,0.667,0.59,40
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.619,0.476,0.667,0.619,0.619,0.6,32
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.619,0.476,0.571,0.714,0.714,0.619,19
