params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.619,0.571,0.667,0.714,0.762,0.667,10
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.667,0.524,0.571,0.714,0.714,0.638,14
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.762,0.619,0.762,0.619,0.714,0.695,3
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.81,0.571,0.667,0.619,0.81,0.695,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.762,0.714,0.667,0.619,0.762,0.705,1
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.762,0.476,0.714,0.619,0.762,0.667,10
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.714,0.714,0.667,0.571,0.762,0.686,6
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.762,0.524,0.714,0.571,0.762,0.667,12
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.571,0.476,0.714,0.714,0.714,0.638,14
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.667,0.429,0.619,0.714,0.762,0.638,16
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.762,0.476,0.714,0.667,0.81,0.686,6
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.762,0.429,0.667,0.667,0.762,0.657,13
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.762,0.667,0.667,0.667,0.762,0.705,1
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.714,0.476,0.714,0.667,0.857,0.686,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.667,0.714,0.667,0.619,0.762,0.686,6
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.762,0.524,0.762,0.619,0.81,0.695,3
