params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,19
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.476,0.571,0.667,0.571,0.476,0.552,17
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.571,0.571,0.524,0.524,0.524,0.543,19
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.476,0.571,0.667,0.571,0.476,0.552,17
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.524,0.571,0.667,0.667,0.619,0.61,7
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.619,0.619,0.571,0.667,0.6,15
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.667,0.619,0.524,0.619,0.61,7
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.619,0.619,0.571,0.667,0.6,15
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.667,0.762,0.667,0.619,0.667,0.676,3
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.619,0.667,0.571,0.667,0.61,9
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.714,0.571,0.762,0.571,0.762,0.676,3
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.619,0.667,0.571,0.667,0.61,9
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.714,0.714,0.714,0.571,0.714,0.686,1
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.619,0.667,0.571,0.667,0.61,9
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.714,0.524,0.762,0.571,0.762,0.667,5
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.619,0.667,0.571,0.667,0.61,9
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.714,0.619,0.762,0.571,0.714,0.676,2
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.524,0.619,0.667,0.571,0.667,0.61,9
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.619,0.619,0.667,0.571,0.667,0.629,6
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.524,0.619,0.667,0.571,0.667,0.61,9
