model,seed,best_params,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc
RandomForest,42,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.63,0.625,0.625,0.625,0.711
GradientBoosting,42,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.667,0.665,0.667,0.665,0.733
KNN,42,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",0.704,0.706,0.708,0.703,0.706
RandomForest,123,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.63,0.625,0.625,0.625,0.711
GradientBoosting,123,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.667,0.662,0.658,0.659,0.747
KNN,123,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",0.704,0.706,0.708,0.703,0.706
RandomForest,2023,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.704,0.7,0.7,0.7,0.706
GradientBoosting,2023,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.704,0.706,0.708,0.703,0.722
KNN,2023,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",0.704,0.706,0.708,0.703,0.706
RandomForest,31415,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.63,0.625,0.625,0.625,0.694
GradientBoosting,31415,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.667,0.665,0.667,0.665,0.717
KNN,31415,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",0.704,0.706,0.708,0.703,0.706
RandomForest,98765,"{'n_estimators': 100, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10}",0.593,0.585,0.583,0.583,0.706
GradientBoosting,98765,"{'n_estimators': 300, 'learning_rate': 0.01, 'max_depth': 3, 'subsample': 0.8}",0.63,0.625,0.625,0.625,0.725
KNN,98765,"{'n_neighbors': 7, 'weights': 'uniform', 'metric': 'euclidean'}",0.704,0.706,0.708,0.703,0.706
