model,seed,accuracy,pvalue
RandomForest,2023,0.48,0.68317
GradientBoosting,2023,0.48,0.62376
KNN,2023,0.67,0.20792
RandomForest,2023,0.48,0.70297
GradientBoosting,2023,0.48,0.64356
KNN,2023,0.67,0.20792
RandomForest,2023,0.48,0.70297
GradientBoosting,2023,0.48,0.64356
KNN,2023,0.67,0.20792
RandomForest,2023,0.48,0.71287
GradientBoosting,2023,0.48,0.64356
KNN,2023,0.67,0.20792
RandomForest,2023,0.48,0.67327
GradientBoosting,2023,0.48,0.62376
KNN,2023,0.67,0.20792
RandomForest,2023,0.48,0.68317
GradientBoosting,2023,0.48,0.61386
KNN,2023,0.67,0.20792
