params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.471,0.471,0.765,0.625,0.625,0.591,54
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.588,0.471,0.882,0.688,0.625,0.651,40
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.529,0.706,0.688,0.625,0.627,49
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.471,0.882,0.625,0.625,0.65,46
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.706,0.588,0.765,0.75,0.688,0.699,6
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.471,0.824,0.625,0.688,0.651,40
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.529,0.647,0.625,0.688,0.615,52
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.529,0.882,0.625,0.688,0.674,21
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.471,0.706,0.625,0.688,0.615,52
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.529,0.882,0.688,0.688,0.687,14
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.529,0.529,0.706,0.625,0.75,0.628,48
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.529,0.824,0.688,0.688,0.675,18
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.647,0.588,0.647,0.562,0.688,0.626,50
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.529,0.765,0.688,0.688,0.663,29
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.588,0.588,0.706,0.562,0.688,0.626,50
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.765,0.529,0.824,0.688,0.688,0.699,8
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.588,0.647,0.706,0.625,0.688,0.651,40
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.529,0.824,0.75,0.688,0.699,6
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.706,0.588,0.824,0.688,0.75,0.711,2
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.647,0.471,0.882,0.75,0.688,0.688,11
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.588,0.765,0.625,0.75,0.675,18
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.529,0.824,0.75,0.812,0.712,1
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.588,0.706,0.625,0.75,0.663,29
"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.647,0.529,0.706,0.688,0.75,0.664,28
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.588,0.706,0.688,0.688,0.651,39
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.706,0.471,0.824,0.688,0.75,0.688,11
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.647,0.647,0.706,0.625,0.688,0.662,33
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.706,0.588,0.765,0.688,0.688,0.687,14
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.647,0.647,0.706,0.562,0.688,0.65,46
"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.588,0.647,0.688,0.688,0.663,29
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.588,0.647,0.765,0.625,0.688,0.662,33
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.765,0.529,0.882,0.688,0.688,0.71,3
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.824,0.647,0.765,0.625,0.625,0.697,10
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200, 'subsample': 0.8}",0.647,0.588,0.824,0.625,0.688,0.674,21
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 1.0}",0.765,0.647,0.706,0.562,0.625,0.661,38
"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300, 'subsample': 0.8}",0.706,0.588,0.765,0.625,0.688,0.674,21
"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.765,0.588,0.706,0.625,0.75,0.687,14
