params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.579,0.444,0.611,0.556,0.554,32
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",0.632,0.579,0.556,0.611,0.611,0.598,6
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",0.474,0.632,0.5,0.556,0.556,0.543,40
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",0.526,0.684,0.5,0.611,0.611,0.587,17
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",0.421,0.632,0.444,0.5,0.611,0.522,52
"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",0.474,0.737,0.444,0.556,0.611,0.564,27
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 1.0}",0.737,0.632,0.667,0.556,0.556,0.629,1
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100, 'subsample': 0.8}",0.474,0.632,0.5,0.611,0.556,0.554,30
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 1.0}",0.526,0.632,0.556,0.5,0.556,0.554,32
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200, 'subsample': 0.8}",0.474,0.684,0.5,0.611,0.611,0.576,21
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 1.0}",0.526,0.579,0.556,0.5,0.5,0.532,48
"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300, 'subsample': 0.8}",0.421,0.632,0.5,0.556,0.611,0.544,39
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 1.0}",0.579,0.579,0.667,0.667,0.556,0.609,4
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 100, 'subsample': 0.8}",0.474,0.632,0.556,0.667,0.556,0.577,19
"{'learning_rate': 0.01, 'max_depth': 7, 'n_estimators': 200, 'subsample': 1.0}",0.579,0.632,0.667,0.611,0.5,0.598,6
