params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.474,0.684,0.556,0.611,0.611,0.587,53
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.684,0.444,0.611,0.667,0.597,45
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.632,0.632,0.444,0.611,0.611,0.586,65
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.579,0.632,0.5,0.611,0.611,0.587,59
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.632,0.684,0.5,0.611,0.611,0.608,19
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.632,0.684,0.556,0.611,0.667,0.63,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.632,0.684,0.5,0.611,0.667,0.619,11
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.474,0.684,0.556,0.611,0.611,0.587,53
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.684,0.444,0.611,0.667,0.597,45
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.632,0.632,0.444,0.611,0.611,0.586,65
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.579,0.632,0.5,0.611,0.611,0.587,59
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.632,0.684,0.5,0.611,0.611,0.608,19
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.632,0.684,0.556,0.611,0.667,0.63,1
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.632,0.684,0.5,0.611,0.667,0.619,11
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.579,0.632,0.556,0.667,0.611,0.609,17
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.684,0.444,0.611,0.667,0.597,45
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.632,0.632,0.444,0.611,0.611,0.586,65
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.579,0.632,0.5,0.667,0.611,0.598,43
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.632,0.684,0.5,0.611,0.611,0.608,19
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.632,0.684,0.556,0.611,0.667,0.63,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.684,0.684,0.5,0.611,0.667,0.629,9
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.579,0.632,0.556,0.667,0.611,0.609,17
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.684,0.444,0.611,0.667,0.597,45
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.632,0.632,0.444,0.611,0.611,0.586,65
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.579,0.632,0.5,0.667,0.611,0.598,43
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.632,0.684,0.5,0.611,0.611,0.608,19
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.632,0.684,0.556,0.611,0.667,0.63,1
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.684,0.684,0.5,0.611,0.667,0.629,9
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.474,0.684,0.556,0.611,0.611,0.587,53
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.684,0.444,0.611,0.667,0.597,45
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.632,0.632,0.444,0.611,0.611,0.586,65
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.579,0.632,0.5,0.611,0.611,0.587,59
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.632,0.684,0.5,0.611,0.611,0.608,19
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.632,0.684,0.556,0.611,0.667,0.63,1
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.632,0.684,0.5,0.611,0.667,0.619,11
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.474,0.684,0.556,0.611,0.611,0.587,53
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.526,0.632,0.556,0.667,0.611,0.598,27
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.579,0.684,0.444,0.611,0.667,0.597,45
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.632,0.632,0.444,0.611,0.611,0.586,65
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.579,0.632,0.5,0.611,0.611,0.587,59
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.632,0.684,0.5,0.611,0.611,0.608,19
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.632,0.684,0.556,0.611,0.667,0.63,1
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.632,0.684,0.5,0.611,0.667,0.619,11
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.474,0.684,0.556,0.611,0.611,0.587,53
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.526,0.632,0.556,0.667,0.611,0.598,27
