params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': None, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.524,0.667,0.762,0.571,0.648,17
"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.524,0.667,0.762,0.571,0.648,17
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.524,0.667,0.762,0.571,0.648,17
"{'max_depth': 10, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.524,0.667,0.762,0.571,0.648,17
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': 20, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 200}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': 20, 'max_features': 'log2', 'min_samples_split': 10, 'n_estimators': 300}",0.714,0.524,0.667,0.714,0.571,0.638,37
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 100}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 200}",0.667,0.429,0.714,0.667,0.762,0.648,29
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 2, 'n_estimators': 300}",0.714,0.429,0.667,0.714,0.762,0.657,9
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 100}",0.667,0.429,0.762,0.714,0.619,0.638,49
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 200}",0.667,0.429,0.714,0.714,0.714,0.648,17
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 5, 'n_estimators': 300}",0.667,0.429,0.714,0.714,0.667,0.638,49
"{'max_depth': 30, 'max_features': 'sqrt', 'min_samples_split': 10, 'n_estimators': 100}",0.762,0.524,0.714,0.714,0.619,0.667,1
