model,seed,accuracy,pvalue
RandomForest,123,0.27,0.9703
GradientBoosting,123,0.27,0.9703
KNN,123,0.55,0.38614
RandomForest,123,0.27,0.9802
GradientBoosting,123,0.27,0.9802
KNN,123,0.55,0.38614
RandomForest,123,0.27,0.9901
GradientBoosting,123,0.27,0.9802
KNN,123,0.55,0.38614
RandomForest,123,0.27,0.9703
GradientBoosting,123,0.27,0.9604
KNN,123,0.55,0.38614
RandomForest,123,0.27,0.9901
GradientBoosting,123,0.27,0.9703
KNN,123,0.55,0.38614
RandomForest,123,0.27,0.9802
GradientBoosting,123,0.27,0.9703
KNN,123,0.55,0.38614
