params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.588,0.471,0.647,0.5,0.5,0.541,16
"{'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.647,0.529,0.706,0.562,0.625,0.614,13
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.647,0.471,0.765,0.625,0.625,0.626,10
"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.647,0.471,0.882,0.75,0.688,0.688,1
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.706,0.529,0.824,0.625,0.625,0.662,3
"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.765,0.471,0.824,0.625,0.625,0.662,3
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.588,0.471,0.824,0.625,0.625,0.626,10
"{'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.765,0.412,0.824,0.625,0.625,0.65,7
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'uniform'}",0.588,0.471,0.647,0.562,0.562,0.566,15
"{'metric': 'manhattan', 'n_neighbors': 3, 'weights': 'distance'}",0.706,0.529,0.647,0.625,0.688,0.639,9
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'uniform'}",0.706,0.471,0.765,0.5,0.625,0.613,14
"{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'}",0.647,0.529,0.882,0.562,0.625,0.649,8
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'uniform'}",0.706,0.471,0.824,0.625,0.688,0.662,2
"{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'}",0.824,0.412,0.824,0.625,0.625,0.662,3
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'uniform'}",0.647,0.412,0.765,0.625,0.625,0.615,12
"{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'}",0.824,0.412,0.824,0.625,0.625,0.662,3
