params,split0_accuracy,split1_accuracy,split2_accuracy,split3_accuracy,split4_accuracy,mean_accuracy,rank_test_score
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.01, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.01, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.1, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'rbf'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 0.1, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 1, 'gamma': 'scale', 'kernel': 'rbf'}",0.647,0.471,0.824,0.625,0.625,0.638,2
"{'C': 1, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 1, 'gamma': 'auto', 'kernel': 'rbf'}",0.765,0.412,0.765,0.625,0.625,0.638,3
"{'C': 1, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.706,0.412,0.824,0.562,0.625,0.626,4
"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.765,0.529,0.647,0.5,0.625,0.613,5
"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 100, 'gamma': 'scale', 'kernel': 'rbf'}",0.647,0.471,0.706,0.375,0.625,0.565,20
"{'C': 100, 'gamma': 'scale', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
"{'C': 100, 'gamma': 'auto', 'kernel': 'rbf'}",0.824,0.706,0.706,0.688,0.625,0.71,1
"{'C': 100, 'gamma': 'auto', 'kernel': 'linear'}",0.588,0.588,0.588,0.562,0.562,0.578,6
