model,seed,best_params,test_accuracy,test_precision,test_recall,test_f1,test_auc_roc
RandomForest,42,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2}",0.524,0.514,0.514,0.514,0.491
GradientBoosting,42,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.571,0.558,0.556,0.555,0.565
KNN,42,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.571,0.558,0.556,0.555,0.477
RandomForest,123,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2}",0.524,0.514,0.514,0.514,0.458
GradientBoosting,123,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.524,0.514,0.514,0.514,0.556
KNN,123,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.571,0.558,0.556,0.555,0.477
RandomForest,2023,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2}",0.524,0.514,0.514,0.514,0.444
GradientBoosting,2023,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.524,0.514,0.514,0.514,0.565
KNN,2023,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.571,0.558,0.556,0.555,0.477
RandomForest,31415,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2}",0.524,0.514,0.514,0.514,0.444
GradientBoosting,31415,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.571,0.558,0.556,0.555,0.583
KNN,31415,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.571,0.558,0.556,0.555,0.477
RandomForest,98765,"{'n_estimators': 200, 'max_depth': None, 'max_features': 'sqrt', 'min_samples_split': 2}",0.524,0.514,0.514,0.514,0.514
GradientBoosting,98765,"{'n_estimators': 200, 'learning_rate': 0.05, 'max_depth': 3, 'subsample': 0.8}",0.571,0.558,0.556,0.555,0.565
KNN,98765,"{'n_neighbors': 5, 'weights': 'distance', 'metric': 'euclidean'}",0.571,0.558,0.556,0.555,0.477
